original_shape2D_Elongation,original_shape2D_MajorAxisLength,original_shape2D_MaximumDiameter,original_shape2D_MeshSurface,original_shape2D_MinorAxisLength,original_shape2D_Perimeter,original_shape2D_PerimeterSurfaceRatio,original_shape2D_PixelSurface,original_shape2D_Sphericity,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,id,label
0.8779025626122946,198.6051358852534,228.21919288263203,25971.5,174.35595774162695,644.8284271247462,0.02482830899735272,25972.0,0.8859501248134193,-45.441261939530314,120.921227597122,122228091.66894789,3.3024579764948565,92.68767274184916,2.593418756302131,254.01121922644384,51.611250265267,27.092468716066865,16.350519888369114,-123.86929272109496,377.8805119475388,37.995873669599014,68.60137468626984,0.5222459083731686,122228091.66894789,0.11606470890745188,3972.146747714922,49.3718678594942,1682.5465479681957,66.75630469071072,25.479210646912914,0.26892839161922466,0.9791108482662166,0.2571550288524844,0.8525811211868703,0.20279968275510257,0.873316938409305,0.8725998218504317,0.9989547837409568,0.9849114288685936,-0.6720150846967808,0.9940563595967997,0.24749342696943485,6.562720266449789,0.07106149259135534,4.382313638594211,0.9809125705629788,0.13523875914952946,13.125440532899578,4.0881917823557945,6.437034759633034,708.2834787842311,0.1065728978008172,6.897107938008368,56.12910021065302,27.059885645501055,1184.4848028889558,1.167571822773759,0.03656240225685505,6.508743107642879,994.3611194703581,0.1496179836699305,0.2558909594948406,11.788089632178137,0.31704594772231676,20.092726508142977,0.010043426928105325,708.2834787842311,0.1065728978008172,6.897107938008368,56.12910021065302,27.059885645501055,1184.4848028889558,1.167571822773759,0.03656240225685505,994.3611194703581,0.1496179836699305,0.31704594772231676,20.092726508142977,0.010043426928105325,6.508743107642879,0.2558909594948406,11.788089632178137,4.5275354608954395,11895.47905436624,0.45801166850324354,0.36775738228820104,3014.43261974434,6.452729549236274,49.68543046357616,6.558986600954874,311.23332819959955,0.2729026388208302,0.04032047300633979,0.21821577083012475,11.861173143727433,0.008172296522777999,6.248934943826782,0.0015960398644939296,24.589178760588467,0.011669878492309107,0.17831063563133567,001469,1
0.9615361400510009,150.1066287676864,179.655225362359,16249.5,144.3329484213497,508.8284271247462,0.03131348208404851,16250.0,0.8880830204387388,-57.60282006440739,92.9884422084283,68370938.46955469,3.217904360397535,103.39101588881255,2.861905343719521,284.0370585247124,53.984233326920105,16.266914105056916,16.568995681914668,-107.05069722862208,391.0877557533345,42.942221833324695,64.86480068077918,0.4372584522902275,68370938.46955469,0.12379157964497042,3942.829872855912,44.064019851116626,1861.6091598888786,54.32339403231681,25.620292225184564,0.20893300248138957,0.9838219690571594,0.20732009925558312,0.7423787906098841,0.16595137892604472,0.8966087675765095,0.8965012406947891,0.9992796552629435,0.9884869327993268,-0.7121767052571893,0.9948732057418204,0.20590880893300248,6.140942928039702,0.08321995124962285,4.143424188464652,0.986117481594155,0.15167493796526055,12.281885856079406,3.9289644066725673,6.457306306916489,391.9181844463718,0.11330389836553102,6.733334386432868,49.06793871061,39.62821624747037,1553.3185891876265,2.204031167564349,0.04666931521790891,6.686382424119265,427.1734605377277,0.12349623027977094,0.21286153846153846,17.55804989702609,0.23449427816634663,12.895043316614892,0.009076826615119965,391.9181844463718,0.11330389836553102,6.733334386432868,49.06793871061,39.62821624747037,1553.3185891876265,2.204031167564349,0.04666931521790891,427.1734605377277,0.12349623027977094,0.23449427816634663,12.895043316614892,0.009076826615119965,6.686382424119265,0.21286153846153846,17.55804989702609,4.320200313608403,8117.806892307693,0.4995573472189349,0.3071290925443787,2011.6131692307692,6.451048615384616,44.34738461538461,6.93403076923077,298.2928615384615,0.3673308991797457,0.05160689636267319,0.18938119658119656,8.932810256410256,0.009168805690858891,3.0081911727679103,0.002787102421983429,26.295579785809675,0.008916166513887921,0.42898643867182085,001392,1
0.5608847476388252,94.678403028357,93.53608929178085,3771.5,53.10367218940701,254.8284271247462,0.06756686388035164,3772.0,0.8543072940936299,38.79072021893921,151.79188140870212,44192847.179117024,2.8563813228820814,61.28876539105785,3.35311232924035,282.03050786470004,35.53351201748116,98.54452456664168,100.07948560999705,-24.41331909058919,306.44382695528924,25.023454914929115,108.24058958202278,-0.002503912078434088,44192847.179117024,0.16392737017415818,2005.0019109984532,32.419241192411924,528.6229677795945,-1.2818613557054306,12.475616072149881,0.2948509485094851,0.9538229967576767,0.2899728997289973,0.8858016686097288,0.210766665932242,0.8558265582655827,0.8555013550135502,0.9982665778374887,0.9793108788230741,-0.5985382294280887,0.9834791412290481,0.2857046070460705,5.419783197831979,0.09173342587084407,4.001905994877357,0.9579911687136938,0.1821138211382114,10.839566395663958,3.691866245214666,3.192616755164842,179.50918635170603,0.157050906694406,3.389078333712223,35.32195975503062,17.592300962379703,530.9518810148732,1.3484756083200284,0.055769001311247776,5.703686213121213,197.96937882764655,0.17320155627965578,0.3030222693531283,6.7017235269038435,0.3533657900187785,13.424416041467925,0.017353362260557902,179.50918635170603,0.157050906694406,3.389078333712223,35.32195975503062,17.592300962379703,530.9518810148732,1.3484756083200284,0.055769001311247776,197.96937882764655,0.17320155627965578,0.3533657900187785,13.424416041467925,0.017353362260557902,5.703686213121213,0.3030222693531283,6.7017235269038435,4.158465807452611,1622.4353128313892,0.43012601082486457,0.39835158656349345,618.3340402969247,3.2027123449112676,32.82608695652174,6.129374337221633,194.62566277836692,0.4186944906003465,0.06446099159657082,0.2440497231059267,8.522357723577235,0.014159864315461415,1.687904766631101,0.00693135168708218,18.60391913356108,0.009960307378231673,0.5577293720193083,004755,1
0.5839638900521099,144.3329484213497,144.25324953012324,9124.5,84.2852300228219,394.8284271247462,0.04327123975283536,9125.0,0.8576321559164204,-60.85357593751238,104.89128875764224,43074659.18781286,3.381752202996387,91.04295384663423,3.1285232449948674,314.99041301910586,52.73699262481301,22.61839041031666,20.851639053056793,-112.21113964587015,427.201552664976,38.491709357546,68.70597205428868,0.42319131396226345,43074659.18781286,0.10817973203227621,4208.919011171192,47.367653557224926,2280.6556909159335,60.61134809758114,27.018058181637823,0.25364560318161733,0.9813986243629702,0.24635439681838267,0.8268169038493572,0.19295511434986815,0.8780380026513477,0.8775519222271321,0.9992199623770601,0.9870531664999883,-0.6900181450602314,0.9952735534270598,0.23997459125055234,6.377817057003977,0.06651644746541269,4.427053121841521,0.9820054741691556,0.10969951391957579,12.755634114007954,4.157919874085763,6.817925946204861,234.90484581497796,0.10348231093170836,7.523518989306992,54.22599118942731,28.470925110132157,1218.691629955947,1.532935964112505,0.04655321628893653,6.57628919821932,328.9955947136564,0.14493198005006888,0.24876712328767123,12.311941819169789,0.3009337434860209,19.484902718268224,0.012849346615183384,234.90484581497796,0.10348231093170836,7.523518989306992,54.22599118942731,28.470925110132157,1218.691629955947,1.532935964112505,0.04655321628893653,328.9955947136564,0.14493198005006888,0.3009337434860209,19.484902718268224,0.012849346615183384,6.57628919821932,0.24876712328767123,12.311941819169789,4.5847879852931435,4239.454794520548,0.46459778570088195,0.3562952899230625,987.1400547945206,6.832697478701445,47.76745205479452,6.618630136986301,302.3574794520548,0.33788635691773955,0.04991955202158399,0.21269406392694065,11.299488584474883,0.010113934654532114,1.6312818721620674,0.004884527102835756,33.189589677992416,0.009430823200972464,0.8102633805119748,003890,1
0.7435403224305059,90.05923976287308,96.60745312862771,4523.5,66.96267617113288,270.8284271247462,0.05987143298877998,4524.0,0.88033502659509,56.42859618291251,140.939373110146,61090300.856655024,2.587135949196906,39.163530771156985,13.198837270782931,380.0430346603676,31.984445906354278,103.22335661675862,95.59212695406949,-5.408557666282732,385.4515923266503,16.742692501016034,116.20500503656066,2.7417353879098507,61090300.856655024,0.21839373620677927,2848.5418443165568,35.612404836542765,3983.531928408847,199.2980299175144,17.783344938490327,0.822884012539185,0.9115474699677224,0.34415584415584416,1.0089179791685905,0.7044407674725632,0.8682940417546329,0.8642483644309201,0.9973312071373996,0.9820837803299365,-0.5763956587347999,0.974305959010329,0.21766553897271704,5.601097178683386,0.14111870070106247,3.6816395394407153,0.9196096255770383,0.24182713837886252,11.202194357366771,3.3334505248799795,4.651557237757379,192.62943722943723,0.16677873353198028,9.00964674575064,48.53073593073593,28.973160173160174,845.2952380952381,1.2913417489750516,0.041524189052256306,5.957528394461993,182.16883116883116,0.15772193174790577,0.2553050397877984,13.631186821836174,0.34296150930250796,23.871766035665676,0.012937610297510232,192.62943722943723,0.16677873353198028,9.00964674575064,48.53073593073593,28.973160173160174,845.2952380952381,1.2913417489750516,0.041524189052256306,182.16883116883116,0.15772193174790577,0.34296150930250796,23.871766035665676,0.012937610297510232,5.957528394461993,0.2553050397877984,13.631186821836174,3.7645153479117455,2063.8249336870026,0.4561947245108317,0.38162924760839323,988.0132625994695,4.669540034444452,36.0632183908046,6.57869142351901,210.9076038903625,0.2878169669992552,0.04323731657741986,0.2222836231456921,10.577635327635328,0.009183381408722338,1.6668874640993487,0.004574451626994118,39.680864348789015,0.009213640976581705,1.1261199649826588,000557,0
0.8636173618534377,101.60708636704435,115.62439189029277,6687.5,87.74964387392123,326.8284271247462,0.04887154050463495,6688.0,0.8869864913152757,-41.66000722350483,93.31352445822635,42624294.0561468,3.0890778632350644,85.89224743382894,9.362841757862032,371.44080186300573,53.6116623132858,25.886997185173982,5.376223514068154,-88.69623796107781,460.13703982408356,34.300386367989354,79.83263561571854,2.187032082972187,42624294.0561468,0.1450397305178453,5703.113086086888,38.56424242424243,10849.88530196646,432.6778258523596,34.91772669880625,1.2777272727272728,0.9293984667946333,0.4283333333333334,1.1211704607876738,1.0942578282828284,0.8483483044733044,0.8435075885338439,0.9967314061416559,0.9802799624617807,-0.6015897478133388,0.9876560980255663,0.24385407736186512,5.49128787878788,0.08928912993572084,4.309246967791667,0.9597416687162178,0.17939393939393938,10.98257575757576,3.8818068847040483,9.04886349288338,220.69063631660632,0.11417001361438506,13.644005375099457,55.094154164511124,25.826176927056387,725.8365235385411,1.8556230377334901,0.051782658076766575,6.155804922677208,367.95292291774444,0.19035329690519628,0.2890251196172249,13.855221305348413,0.4126068847976872,30.60739895986657,0.01697322240548813,220.69063631660632,0.11417001361438506,13.644005375099457,55.094154164511124,25.826176927056387,725.8365235385411,1.8556230377334901,0.051782658076766575,367.95292291774444,0.19035329690519628,0.4126068847976872,30.60739895986657,0.01697322240548813,6.155804922677208,0.2890251196172249,13.855221305348413,4.340023972168507,2851.658193779904,0.4263842993091962,0.43679093527506235,970.0257177033493,9.184790637662829,39.708433014354064,6.302631578947368,213.32296650717703,0.40856106647068835,0.06120204026376832,0.2503322700691122,13.474523192450825,0.01322101609688387,2.029043912939726,0.004096652328179339,58.52549088286077,0.016873413086657435,1.070945653584873,000819,1
0.7163422139996581,77.35631842325485,81.8413098624405,3215.5,55.41359640617693,228.8284271247462,0.07116418197006569,3216.0,0.878454381920603,-38.66754188985455,128.44604047079457,23015579.30099943,3.0990935985942962,66.84543294425964,7.112666239460289,336.8465078852511,57.00277204030705,26.787723194117874,2.6193431639528795,-79.95442694366197,416.8009348289131,33.65791233309038,84.59660515378025,1.9793377323965813,23015579.30099943,0.15655591755154574,6439.003489619918,39.55382661162274,10404.468073457567,464.5754685835368,38.507757557556566,1.3972689742775484,0.9299702771447662,0.42807240393775803,1.1200191751670556,1.2140229912644973,0.859302272830377,0.8531914419819077,0.9960483090717259,0.9796089537442318,-0.618618934300852,0.9887702669909395,0.20832151975323848,5.502381708478882,0.10697347704024958,4.244584109563986,0.9524835029802523,0.20609717370593839,11.004763416957765,3.806487056718809,9.976256632958531,86.29466357308584,0.100109818530262,17.451655622008925,67.23433874709977,31.87935034802784,823.6171693735499,2.23328544157849,0.04931766895560739,6.306817291345721,175.00696055684455,0.20302431619123498,0.26803482587064675,17.960045434725263,0.44439748436622484,42.61687388311794,0.01757692079357129,86.29466357308584,0.100109818530262,17.451655622008925,67.23433874709977,31.87935034802784,823.6171693735499,2.23328544157849,0.04931766895560739,175.00696055684455,0.20302431619123498,0.44439748436622484,42.61687388311794,0.01757692079357129,6.306817291345721,0.26803482587064675,17.960045434725263,4.290440987684548,1418.108830845771,0.44095423844706816,0.4495696269894309,503.48383084577114,10.38036806019653,41.42910447761194,6.520522388059701,213.35012437810946,0.4235119625978083,0.06090024124690426,0.24694237147595355,15.93399322830293,0.012760305761763284,1.1194746669539302,0.008596287237881401,49.51917784016908,0.02226709281927259,1.7982988892581149,001543,1
0.612899545156443,429.547048257425,435.7900870832195,84815.5,263.26919050026845,1198.828427124746,0.0141345441237126,84816.0,0.8611632989180076,-116.07457917535116,215.0336124084425,1350885676.7774706,4.143647832925627,176.12137850201793,2.7433125846138244,466.3001124046548,100.47826706111724,30.218435023112335,8.384528299408181,-132.51257450220615,598.8126869068609,73.81227972269005,126.20321105572428,0.7001819387306842,1350885676.7774706,0.06306160692746393,15014.096665529627,83.40807206695985,25717.458963464,654.0430712713985,96.9610384216675,0.2626140823757507,0.9945977326378508,0.25894925994230855,0.8380683259379301,0.19555936315108138,0.8711361737677527,0.8708918522721899,0.9995805445306467,0.990045633623919,-0.7410985347409637,0.998924830992788,0.2557425403130467,7.6963280843618485,0.03783117500098262,5.217264193454417,0.9951993245792573,0.06847306946611813,15.392656168723695,4.942948464529096,24.305913126010815,1358.9163671110707,0.061833569964557064,23.480100228218877,93.27560631569368,28.765527597033262,1861.4590253446786,8.126812213068314,0.06785313893441311,7.243515810410708,3449.741593484097,0.15697054163371238,0.25911384644406715,13.871273543227357,0.28619401457541926,29.922725385002177,0.013488980026244012,1358.9163671110707,0.061833569964557064,23.480100228218877,93.27560631569368,28.765527597033262,1861.4590253446786,8.126812213068314,0.06785313893441311,3449.741593484097,0.15697054163371238,0.28619401457541926,29.922725385002177,0.013488980026244012,7.243515810410708,0.25911384644406715,13.871273543227357,5.337803263963035,39090.356630824375,0.4608842273960617,0.34700787571678626,5348.633253159781,24.297424230218198,83.45056357291077,6.506201660064139,520.0308314468969,0.8932193721071751,0.11830460576865104,0.21282999538871075,19.24488173091031,0.0193410578852504,8.828357613804952,0.000852255107095974,67.44911677883539,0.01816615570001222,0.2746051317201525,004263,1
0.8778549826875565,151.26136320951235,173.65770930194836,15064.5,132.78554138158265,490.8284271247462,0.032581793429901175,15065.0,0.8864466135339908,-78.12219305187732,114.83894803047644,90851884.84341185,3.4989473072149875,81.369155878101,5.440141470622787,396.14374406619703,55.87626694157862,18.532990736421215,14.871127951666663,-133.9181856540037,530.0619297202007,36.36942510674482,77.6573207444832,0.9388667134002782,90851884.84341185,0.10797205031102639,5687.187719575263,60.7791304347826,6496.188857004259,183.5348024755919,35.640808603930594,0.5880267558528429,0.9675381916082465,0.3049498327759197,0.9487627421846745,0.49503235534278134,0.867634003677482,0.8656073430376152,0.998849008530846,0.9871709360119039,-0.6726632129578044,0.995433616358702,0.24257456353840925,7.2122073578595325,0.06603646267938838,4.635348605161163,0.9771210109959129,0.13016722408026757,14.424414715719065,4.277225686365497,9.057208839945861,374.7973657548126,0.09493347663495759,12.134995570583751,75.87588652482269,28.043313069908816,1435.104609929078,1.2809226419714677,0.031944887464777284,6.683452543515083,642.3693009118541,0.16270752302731867,0.2620643876535015,13.482555067447228,0.3485153150254765,34.18972528153786,0.00872980925937388,374.7973657548126,0.09493347663495759,12.134995570583751,75.87588652482269,28.043313069908816,1435.104609929078,1.2809226419714677,0.031944887464777284,642.3693009118541,0.16270752302731867,0.3485153150254765,34.18972528153786,0.00872980925937388,6.683452543515083,0.2620643876535015,13.482555067447228,4.726598506050785,6792.1638898108195,0.4508572114046346,0.3866896243063992,1626.5989379356124,9.197691631429201,61.54457351476933,6.5166279455692,369.7316296050448,0.26693869919958535,0.03861012309671235,0.22585094221337168,16.845488070214255,0.007582168935049744,1.9106770882965605,0.0027828093499438636,57.53164680139727,0.009965444486964513,0.7892919657306073,000196,1
0.600906244876537,251.7220689570145,253.81883302859936,28557.5,151.2613632095123,696.8284271247462,0.024400890383428037,28558.0,0.8596846361866929,1.228114915560194,197.61223271393177,368391003.2903685,3.4904604658877805,87.28183013260958,3.3707427657481674,352.53748119931385,58.37119845273951,85.3248978730544,68.87153326833263,-68.59734919052748,421.13483038984134,38.66401960742809,113.57705752801205,0.803498352043931,368391003.2903685,0.11130730883251805,5619.409799674196,56.689590881908046,4341.628469627809,172.7166128215985,35.81974092531962,0.1985436380905477,0.9889753973295973,0.1974883033735533,0.7210762252983943,0.15954200812118308,0.9014317374327223,0.9013613817849226,0.9993891558978855,0.9896086559664365,-0.741008227818232,0.997161010032011,0.1965648854961832,6.912618285432862,0.07661007048101683,4.3941725215002325,0.9909002921064081,0.15685791676926866,13.825236570865727,4.191901316682312,9.004571140852542,561.6886561954625,0.09802594348960951,9.921427013757544,64.14293193717278,46.23455497382199,2298.193019197208,2.135174517659979,0.04214139388089852,7.074717334551718,664.3361256544503,0.11593998702520947,0.20064430282232648,21.394855647841037,0.22351073686598896,16.473318969289107,0.008260208155953607,561.6886561954625,0.09802594348960951,9.921427013757544,64.14293193717278,46.23455497382199,2298.193019197208,2.135174517659979,0.04214139388089852,664.3361256544503,0.11593998702520947,0.22351073686598896,16.473318969289107,0.008260208155953607,7.074717334551718,0.20064430282232648,21.394855647841037,4.572015272085009,14643.529799005533,0.5127645423000746,0.2965625246625211,3178.7141256390505,8.991558191464772,56.85307094334337,7.049863435814833,387.2834232089082,0.3261911565936878,0.04540713754408099,0.1840503925733984,11.207377189501287,0.00802989797961513,4.64363792351558,0.0018269468454299841,26.207275344204465,0.010735853484932103,0.2937819993338215,004252,1
